,Company,Link,Pitch,Joined,Location,Market,Website,Employees,Stage,Total_raised
702,HDS Capital,https://angel.co/hds-capital,"HDS invests in and mentors startups at the intersection of technology, retail and fashion.",Oct ’14,New York City,Brand Marketing,hdscapital.com,1-10,-,-
703,Sourcery,https://angel.co/sourcery,Mint.com + Mint Bills for Business,Oct ’14,San Francisco,Wholesale,getsourcery.com,11-50,Series A,"$7,500,000"
704,uMake,https://angel.co/umake,set your ideas free,Oct ’14,San Francisco,Product Design,umake.xyz,1-10,Seed,"$5,200,000"
705,Pana,https://angel.co/pana,Modern corporate travel platform,Oct ’14,Denver,Mobile Commerce,pana.com,11-50,Seed,"$1,550,000"
706,WorkBright,https://angel.co/workbright,Onboarding HR paperwork without the paper. Or the work.,Oct ’14,Boulder,B2B,workbright.com,1-10,-,-
707,Ravti,https://angel.co/ravti,HVAC Management Platform for Commercial Real Estate,Oct ’14,Tampa,SaaS,ravti.com,1-10,-,-
708,Lassy Project,https://angel.co/lassy-project-1,Find Lost Children. Faster.,Oct ’14,The Woodlands,Europe,lassyproject.com,,-,-
709,MileIQ,https://angel.co/mileiq,The #1 mileage logging service.,Oct ’14,Redmond,Business Services,mileiq.com,51-200,Acquired,"$14,000,000"
710,Rebag,https://angel.co/rebagg,Endless access to luxury handbags,Oct ’14,New York City,Collaborative Consumption,rebag.com,51-200,Series B,"$28,300,000"
711,Vault12,https://angel.co/vault12,"Distributed, decentralized and serverless digital custody for all your cryptocurrency.",Nov ’14,Mountain View,Blockchains,vault12.com,1-10,-,-
712,Smarking,https://angel.co/smarking,Data Analytics for Parking,Dec ’14,San Francisco,Predictive Analytics,smarking.com,11-50,Seed,"$3,000,000"
713,Wootric,https://angel.co/wootric,Measure and boost customer happiness.,Oct ’14,San Francisco,B2B,wootric.com,11-50,Seed,"$2,600,000"
714,Kickback,https://angel.co/kickback,,Mar ’15,San Francisco,Skill Gaming,kickback.com,11-50,-,-
715,YesPath,https://angel.co/yespath,SaaS for Account Based Marketing,Dec ’14,San Francisco,Marketing Automation,yespath.com,1-10,Seed,"$1,700,000"
716,Boxed,https://angel.co/boxed,Online Wholesale,Dec ’14,New York City,E-Commerce,boxed.com,51-200,Series C,"$132,600,000"
717,Xfers,https://angel.co/xfers,Internet Banking Payment System,Jun ’15,Singapore,Payments,xfers.com,1-10,Seed,"$2,500,000"
718,Swell,https://angel.co/swellapp,The to-do list that literally works for you.,Aug ’15,New York City,Productivity Software,tryswell.com,1-10,-,-
719,Percolata,https://angel.co/percolata,Sense-able Retail Staffing,Jan ’15,Palo Alto,-,percolata.com,,Seed,"$5,000,000"
720,Flow Labs,https://angel.co/flow-labs,Smarter water management for commercial real estate; Forbes 30 Under 30 - Energy,Nov ’15,Sunnyvale,Water,flowlabs.com,1-10,Seed,"$852,000"
721,datawire.io,https://angel.co/datawire-io,microservices,Nov ’14,San Francisco,Cloud Infrastructure,datawire.io,11-50,-,-
722,SUNDAR,https://angel.co/sundar-6,SaaS Sourcing for Apparel Industry,Nov ’14,New York City,B2B,sundar.io,11-50,,"$1,300,000"
723,Outreach,https://angel.co/outreach,Sales Engagement Platform,Nov ’14,Tampa,Sales Automation,outreach.io,201-500,Series C,"$59,000,000"
724,Requested,https://angel.co/requested,Dine and dash in style,Mar ’15,Sacramento,Hospitality,requestedapp.com,1-10,Acquired,"$845,000"
725,Evertoon,https://angel.co/evertoon,Make 3D animated movies starring celebrities,Nov ’14,San Francisco,Mobile Video,evertoon.com,1-10,Acquired,"$1,700,000"
726,Super,https://angel.co/super,Subscription service provides care & repair for your home,Nov ’14,San Francisco,Local Based Services,hellosuper.com,11-50,Seed,"$3,600,000"
727,Reveal,https://angel.co/reveal-4,"The ""Ask Me Anything"" social network using cryptocurrency to transform social media",Dec ’14,San Francisco,Photo Sharing,reveal.me,1-10,Seed,"$1,500,000"
728,BBG Ventures,https://angel.co/bbg-ventures,An early stage venture capital fund,Nov ’14,New York City,Curated Web,Website,,-,-
729,TetraScience,https://angel.co/tetrascience,Data platform for life sciences,Sep ’15,Boston,Technology,tetrascience.com,11-50,Series A,"$10,000,000"
730,Far East Ventures,https://angel.co/far-east-ventures,,Dec ’14,Singapore,Technology,fareast.ventures,,-,-
731,Chai,https://angel.co/chai,Biotechnology for the Real World,Dec ’14,Santa Clara,Synthetic Biology,chaibio.com,11-50,Seed,"$2,800,000"
732,Kindly Care,https://angel.co/kindly-care,Marketplace for senior home care,Jan ’15,San Francisco,Marketplaces,kindlycare.com,51-200,Seed,"$4,100,000"
733,Brainchild & Co.,https://angel.co/brainchild-1,Building services and products for consumers,Jan ’15,New York City,Beauty,brainchild.co,11-50,-,-
734,Jobsinthemoney,https://angel.co/jobsinthemoney,,Jan ’15,-,-,-,-,-,-
735,OneEleven,https://angel.co/oneeleven-111,Post-Seed Stage Tech Accelerator,Mar ’15,Toronto,Technology,oneeleven.com,1-10,-,-
736,Signatures Capital,https://angel.co/signatures-capital,Supporting founders committed to inventing the future.,Jan ’15,San Francisco,Venture Capital,signaturescapital.com,1-10,-,-
737,Staffly,https://angel.co/staffly,On-demand Retail Staffing Marketplace,Sep ’15,San Francisco,Business Services,Staffly.com,1-10,Seed,"$2,610,000"
738,Plate IQ,https://angel.co/plateiq,Redefining restaurant operations (YC S15),Aug ’15,San Francisco,Predictive Analytics,plateiq.com,11-50,Seed,"$5,300,000"
739,Shred Video,https://angel.co/shred-video,1-button video editing,Nov ’15,San Francisco,Artificial Intelligence,shredvideo.com,,-,-
740,Bit.ly,https://angel.co/bit-ly,,Jan ’12,-,-,bit.ly,51-200,Acquired,"$94,400,000"
741,Radius Agent,https://angel.co/radiusagent,Social Network for Real Estate Agents and Brokers,Jun ’14,Broomfield,Private Social Networking,radiusagent.com,11-50,Series A,"$6,450,000"
742,Symphony,https://angel.co/symphony-3,The secure collaboration and workflow technology company,Oct ’14,Palo Alto,Messaging,symphony.com,201-500,,"$366,000,000"
743,BrightCrowd,https://angel.co/brightcrowd,The Smarter Professional Network,Oct ’14,Redwood City,Q&A,brightcrowd.com,1-10,-,-
744,Lyte,https://angel.co/lyte,,Oct ’14,San Francisco,Ticketing,lyte.com,11-50,-,-
745,Gyroscope,https://angel.co/gyroscope,A new OS for the human body,Oct ’14,San Francisco,Fitness,gyrosco.pe,1-10,-,-
746,Rhumbix,https://angel.co/rhumbix,Field Construction Productivity Solutions,Dec ’14,San Francisco,Industrial,rhumbix.com,11-50,Series D,"$12,260,000"
747,ShineOn.com,https://angel.co/shineonjewelry,ShineOn is an e-commerce platform that empowers the creation and sale of jewelry.,Oct ’15,Brooklyn,E-Commerce Platforms,shineon.com,11-50,-,-
748,Gridspace,https://angel.co/gridspace,Software that understands and automates real-time conversation,Nov ’14,San Francisco,Deep Learning,gridspace.com,11-50,-,-
749,Untrodden,https://angel.co/untrodden,"An online treasure chest to places less-explored, starting with lodging. ",Oct ’14,San Francisco,Curated Web,untrodden.com,1-10,-,-
750,Superhuman,https://angel.co/superhuman,The fastest email experience ever made. Sign up now for VIP access.,Aug ’15,San Francisco,SaaS,superhuman.com,11-50,-,-
751,Current Labs,https://angel.co/current-labs,Tools for managing aquatic ecosystems,Jan ’15,San Francisco,Experience Design,currentlabs.io,1-10,-,-
752,Bezar,https://angel.co/bezar,The Design Marketplace,Nov ’15,New York City,Marketplaces,bezar.com,,-,-
753,Replicated,https://angel.co/replicated,"Private SaaS, as a service",May ’15,Los Angeles,Docker,replicated.com,1-10,Series A,"$6,500,000"
754,TourBook,https://angel.co/tourbook,TourBook is a new way for commercial real estate brokers to work with their clients. ,Jan ’15,San Francisco,Commercial Real Estate,tourbookapp.com,1-10,-,-
755,Brick & Mortar Ventures,https://angel.co/brick-mortar-ventures,Investing in Technology for the Built World,Jan ’15,San Francisco,Hospitality,brickmortar.vc,1-10,-,-
756,Drive Motors,https://angel.co/drive-motors,Online checkout for car dealerships (Y Combinator W2016),Mar ’15,San Francisco,Mobile Commerce,drivemotors.com,11-50,-,-
757,Parlio (acq. by Quora),https://angel.co/parlio,A global online community discussing what matters.,Jan ’15,Palo Alto,Blogging Platforms,parlio.com,1-10,-,-
758,Reach Capital,https://angel.co/reach-capital,,Feb ’16,-,-,reachcap.com,,-,-
759,Rippling,https://angel.co/rippling,"HR, IT & Operations. Everything your employees need, in one place.",Apr ’17,San Francisco,-,rippling.com,51-200,Seed,"$7,500,000"
760,Giant Swarm,https://angel.co/giant-swarm,Managed Kubernetes Anywhere,Jul ’14,Cologne,Cloud Infrastructure,giantswarm.io,11-50,Seed,"$2,335,000"
761,ParkiFi,https://angel.co/parkifi,Real Time Parking Spot Occupancy Plaftorm,Sep ’14,Boulder,Mobile Payments,parkifi.com,,Acquired,"$9,500,000"
762,Talkray,https://angel.co/talkray,Messaging and Calling App,Sep ’14,Redwood City,Messaging,talkray.com,1-10,-,-
763,Zinc,https://angel.co/zinc-technologies,An Ecommerce Plumbing Company (YC W14),Sep ’14,San Francisco,B2B,zinc.io,11-50,-,-
764,Spruce Health,https://angel.co/spruce-health,Modern healthcare delivery,Dec ’14,San Francisco,-,sprucehealth.com,11-50,Series A,"$17,000,000"
765,Clubhouse Software,https://angel.co/clubhouse-software,Project management tools you’ll actually enjoy using.,Sep ’14,New York City,Product Management,clubhouse.io,1-10,,"$4,000,000"
766,Lunar Wireless,https://angel.co/lunar-labs,Mobile without a monthly bill.,Sep ’14,Detroit,Telecommunications,lunarwireless.com,1-10,Seed,"$4,400,000"
767,AspireIQ,https://angel.co/aspireiq,The leading influencer platform for producing branded creative at scale. ,Oct ’14,San Francisco,Social Media Marketing,aspireiq.com,51-200,Seed,"$2,400,000"
768,Vita-Mix,https://angel.co/vita-mix,,Oct ’14,-,-,,,-,-
769,FG Angels Syndicate Fund III,https://angel.co/fg-angels-syndicate-fund-iii,"1 Investment, 15 deals from FG Angels",Oct ’14,-,-,angel.co,,-,-
770,Channel,https://angel.co/channel-app,Watch the world.,Oct ’14,San Francisco,Video Streaming,channel.wtf,11-50,Seed,"$8,200,000"
771,KohFounders,https://angel.co/kohfounders,"KohFounders is a pre seed fund focused on emerging ecosystems. The team, advisors and investors have helped build and have experience at companies including Facebook, Sequoia Capital, Google, Snapchat, Groupon, Zynga, Kabam, ebay, uber, etc.  ",Oct ’14,-,-,kohfounders.com,11-50,-,-
772,v1.vc,https://angel.co/v1-vc,Seed-stage venture capital fund based in Boulder and San Francisco,Nov ’15,Boulder,Hardware + Software,v1.vc,1-10,-,-
773,Shinesty,https://angel.co/shinesty,Irreverent fashion for events year round. ,Oct ’14,Boulder,Fashion,shinesty.com,11-50,,"$330,000"
774,Wevorce,https://angel.co/wevorce,Changing Divorce For Good,Nov ’14,San Francisco,Legal,wevorce.com,,Seed,"$6,400,000"
775,Carbon Robotics,https://angel.co/carbon-robotics,Democratizing advanced robotics. ,Nov ’14,San Francisco,Robotics,carbon.ai,1-10,-,-
776,Spoil,https://angel.co/spoil,Gifting for the Snapchat Generation,Nov ’14,San Francisco,Ecommerce,spoil.co,1-10,-,-
777,Snowball,https://angel.co/snowball-2,All your mobile messages in one place,Nov ’14,San Francisco,Operating Systems,trysnowball.com,1-10,Seed,"$2,300,000"
778,Opstarts,https://angel.co/opstarts,Planning and forecasting without spreadsheets,Nov ’14,San Francisco,B2B,opstarts.com,,-,-
779,NURX,https://angel.co/nurx,"Medication, Prescribed and Delivered",Nov ’14,San Francisco,Young Adults,nurx.co,11-50,Series A,"$5,300,000"
780,Zen99,https://angel.co/zen99,Finance and insurance tools for freelancers,Aug ’14,San Francisco,-,tryzen99.com,1-10,Seed,"$2,500,000"
781,FLIP,https://angel.co/flip,eBay for the snapchat generation,Aug ’14,-,Ephemeral ,JustFlip.com,1-10,-,-
782,Dia&Co,https://angel.co/dia-co,Dia&Co is the leading personalized styling service for women who wear sizes 14+.,Sep ’14,Los Angeles,Retail Technology,dia.com,501-1000,Series A,"$20,000,000"
783,AngelList Consumer Fund I,https://angel.co/consumer-fund,A diversified portfolio of consumer technology investments,Sep ’14,San Francisco,Consumer Internet,angel.co,,-,-
784,Dwell,https://angel.co/dwell,Connecting the modern world.,Aug ’14,San Francisco,Interest Graph,dwell.com,11-50,Series A,"$4,800,000"
785,Growbot,https://angel.co/growbot,Employee engagement in Slack,Sep ’14,San Francisco,Messaging,growbot.io,1-10,Seed,"$2,000,000"
786,Thrive Agritech,https://angel.co/thrive-agritech,Better LED Horticultural Lighting through Technology,Sep ’15,New York City,Energy Efficiency,thriveagritech.com,11-50,,"$3,100,000"
787,Konsus,https://angel.co/konsushq,On-Demand Business Support,Feb ’16,Palo Alto,B2B,konsus.com,51-200,Seed,"$1,500,000"
788,The Mighty,https://angel.co/the-mighty,A platform that empowers and connects people facing health challenges and disabilities.,Sep ’14,Los Angeles,Digital Health,themighty.com,11-50,Seed,"$8,200,000"
789,Classkick,https://angel.co/classkick,"Student Feedback - Better, Faster, Together",Oct ’14,Chicago,K-12 Education,classkick.com,1-10,Seed,"$1,600,000"
790,Grabble,https://angel.co/grabble,Mobile Commerce Platform b2b and award winning b2c ,Oct ’14,London,Mobile Commerce,grabble.com,11-50,,"£2,100,000"
791,Cloudstitch,https://angel.co/cloudstitch,A web development platform that uses your office suite as the back-end,Oct ’14,San Francisco,Web Design,cloudstitch.com,1-10,Acquired,-
792,GitPrime,https://angel.co/gitprime,Productivity analytics for software teams,Oct ’14,Mountain View,Big Data Analytics,gitprime.com,11-50,Seed,"$800,000"
793,Descartes Labs,https://angel.co/descartes-labs,Modeling complex systems on the planet,Apr ’15,Los Alamos,Agriculture,descarteslabs.com,,Seed,"$8,300,000"
794,Zensight,https://angel.co/zensight,Artificial intelligence for sales professionals,Dec ’14,Boston,Sales Automation,zensight.ai,1-10,Acquired,-
795,Roomblocker,https://angel.co/roomblocker,Hotel booking for groups and events (YC S15),Nov ’14,San Francisco,Hospitality,Roomblocker.com,,,"$120,000"
796,Bento,https://angel.co/bento-2,Delicious Asian food,Feb ’15,San Francisco,Mobile Commerce,bentonow.com,1-10,,"$1,500,000"
797,CTRL+Console,https://angel.co/ctrl-console,Computer interface for the 21st Century,Jan ’15,Boulder,Creative Industries,ctrlconsole.com,1-10,,"$261,000"
798,HOOKED,https://angel.co/hookedapp,Machine learning for storytelling,Jul ’15,San Francisco,Digital Entertainment,hooked.co,11-50,Series A,"$15,150,000"
799,Framer,https://angel.co/framer,The best way to create interactive designs from start to finish.,Nov ’14,Amsterdam,Developer Tools,framer.com,11-50,Series A,"$9,300,000"
800,Dragoneer Investment Group,https://angel.co/dragoneer-investment-group,,Aug ’14,San Francisco,-,-,-,-,-
801,Noteleaf,https://angel.co/noteleaf,,Aug ’14,Palo Alto,Meeting Software,noteleaf.com,-,-,-
802,Orphidia,https://angel.co/orphidia,Universal Platform For All Blood Tests,Aug ’14,San Francisco,Medical Devices,orphidia.com,11-50,Seed,"$1,805,000"
803,Blockstream,https://angel.co/blockstream,Blockstream solves problems that undermine trust in today's financial systems.,Sep ’14,Mountain View,Data Security,blockstream.com,11-50,Series A,"$76,000,000"
804,Growbots,https://angel.co/growbots,Outbound sales. 5 minutes a day. In one place,Sep ’14,San Francisco,Lead Generation,growbots.com,51-200,Seed,"$3,100,000"
805,Make School,https://angel.co/make-school,College designed for the 21st century,Sep ’14,San Francisco,Education,makeschool.com,11-50,Seed,"$4,375,000"
806,Bikanta,https://angel.co/bikanta,Nanodiamonds Redefining Imaging for Cancer Detection,Dec ’14,Berkeley,-,bikanta.com,1-10,-,-
807,Huckle,https://angel.co/huckle,Start your own live group chats with just a Tweet,Sep ’14,San Francisco,Messaging,HuckleApp.com,1-10,Seed,"$850,000"
808,Evolution Equity Partners,https://angel.co/evolution-equity-partners,Venture Capital Firm,Oct ’15,New York City,-,evolutionequity.com,1-10,-,-
809,harvest.ai,https://angel.co/harvest-ai,Stop data theft before it happens,Sep ’14,San Diego,Predictive Analytics,harvest.ai,11-50,Acquired,"$21,300,000"
810,Supply Chain Connect,https://angel.co/supply-chain-connect,,Mar ’17,Newport News,E-Commerce,supplychainconnect.com,-,-,-
811,Liveli,https://angel.co/liveli,Automate your Hiring.,Mar ’15,San Francisco,Small and Medium Businesses,liveli.co,11-50,Acquired,-
812,Skyfront,https://angel.co/skyfront,"Long-endurance, hybrid-electric drone aircraft",Sep ’14,San Francisco Bay Area,Robotics,skyfront.com,,,"$120,000"
813,Mona,https://angel.co/shopwithmona,The world's smartest personal shopping assistant (Techstars NYC '15),Jul ’15,Seattle,Mobile Commerce,monahq.com,1-10,-,-
814,Barricade,https://angel.co/barricade,Early warning system against hackers,Nov ’14,Austin,Technology,barricade.io,11-50,Seed,"$1,200,000"
815,MoveWith,https://angel.co/movewith,Your Personal Audio Fitness Studio,Sep ’14,San Francisco,Fitness,movewith.com,1-10,Seed,"$4,250,000"
816,Liucrative Endeavors,https://angel.co/liucrative-endeavors,Strategy and investment firm,Sep ’14,San Francisco,IaaS,,1-10,-,-
817,Chain,https://angel.co/chain-com,Ledger infrastructure for modern applications,Oct ’14,San Francisco,Developer APIs,chain.com,11-50,Seed,"$43,700,000"
818,Andy OS,https://angel.co/andy-os,An Android platform that connects mobile and desktop,Oct ’14,San Francisco,Android,andyroid.net,1-10,,"$3,000,000"
819,fuzzy.ai,https://angel.co/fuzzy-ai,Easy Machine Learning for Developers,Dec ’14,San Francisco,Developer APIs,fuzzy.ai,1-10,-,-
820,MUBI,https://angel.co/mubi,Curated Film Streaming Service ,Oct ’10,San Francisco,Film,mubi.com,51-200,Series D,"$27,050,000"
821,NGDATA,https://angel.co/ngdata,Experience The Difference,Oct ’12,Gent,Customer Experience,ngdata.com,51-200,Series B,"$25,400,000"
822,Stream,https://angel.co/stream,"Stream is an API for building, scaling and personalizing feeds.",Sep ’14,Boulder,SaaS,getstream.io,11-50,Series A,"$4,750,000"
823,Livongo Health,https://angel.co/livongo-health,,Sep ’14,Chicago,-,livongo.com,-,Series B,"$74,500,000"
824,Liveli,https://angel.co/liveli,Automate your Hiring.,Mar ’15,San Francisco,Small and Medium Businesses,liveli.co,11-50,Acquired,-
825,Skydio,https://angel.co/skydio,The self-flying camera has arrived,Oct ’14,Redwood City,Robotics,skydio.com,51-200,Series B,"$70,000,000"
826,MightySignal,https://angel.co/mightysignal,Providing critical insights into the mobile ecosystem,Oct ’14,San Francisco,B2B,mightysignal.com,1-10,,"$1,200,000"
827,Acre Designs,https://angel.co/acre-designs,Beautiful - Smart - Homes,Dec ’14,Mountain View,Construction,acredesigns.com,1-10,Seed,"$1,362,000"
828,Razorpay,https://angel.co/razorpay,A One Stop modern online payment gateway for India,Mar ’15,Bengaluru,Mobile Payments,razorpay.com,51-200,,"$11,500,000"
829,ROSS Intelligence,https://angel.co/ross-intelligence,Siri for the law. We provide cited answers to natural language legal questions.,Jan ’15,Palo Alto,Legal,rossintelligence.com,1-10,-,-
830,Allay,https://angel.co/allay,A modeling and quoting platform for self insured health plans. (AngelPad#8) ,Jan ’15,San Francisco,Insurance,allay.io,11-50,Seed,"$3,400,000"
831,UK Technology by Flight Ventures,https://angel.co/flight-vc-uk,Investing in early stage companies ,Dec ’14,London,Consumer,angel.co,1-10,-,-
832,SIZZLE,https://angel.co/onsizzle,Search and Share Any Meme,Jan ’15,San Francisco,Computer Vision,onsizzle.com,1-10,-,-
833,SpringRole,https://angel.co/springrole,Professional Network on the blockchain,Feb ’15,Santa Monica,Blockchains,springrole.com,11-50,Seed,"$250,000"
834,Grapevine,https://angel.co/grapevine,Global Influencer Marketing Ecosystem,Dec ’14,Boston,Advertising Platforms,grapevinelogic.com,11-50,Seed,"$1,100,000"
835,ICE,https://angel.co/ice,The International Conclave of Entrepreneurs,Dec ’14,London,Entrepreneurs,angel.co,51-200,-,-
836,JOANY,https://angel.co/hellojoany,"Health Insurance, Simple and Transparent",Dec ’14,Los Angeles,Insurance,joany.com,11-50,Series A,"$18,950,000"
837,Lookup,https://angel.co/lookupto,The Local Shopping Network.,Dec ’14,Delhi,Messaging,lookup.to,51-200,Acquired,"$2,882,000"
838,Marketplaces by Flight.vc,https://angel.co/marketplace-syndicate,"Online marketplaces have among the best network effects, revenue and profit models.",Dec ’14,San Francisco,Marketplaces,hi.com,,-,-
839,ThermoGenesis Group,https://angel.co/thermogenisis-group,Cloud-connected treadmill desks and standing desks,Jan ’15,Grand Rapids,Fitness,imovr.com,11-50,-,-
840,Sourcery Technologies,https://angel.co/sourcery-technologies,,Jul ’16,-,-,-,-,,"$5,000,000"
841,Armory,https://angel.co/armory,"Ship Better Software, Faster",Sep ’16,San Mateo,Developer Tools,armory.io,11-50,-,-
842,Techmate,https://angel.co/techmate,Your Technology Concierge (YC S16),Jul ’16,San Francisco,Tech Field Support,jointechmate.com,1-10,-,-
843,Aella Credit,https://angel.co/aella-credit,Instant Credit Solutions for Africans,Aug ’16,San Francisco,-,aellacredit.com,11-50,-,-
844,Flutterwave,https://angel.co/flutterwave,,Aug ’16,-,-,flutterwave.com,-,Seed,-
845,Vulcun,https://angel.co/vulcun-2,,Sep ’16,-,-,-,-,Series A,"$12,000,000"
846,SV Liquidity,https://angel.co/hf-liquidity,Fund providing access to IPO opportunities,Oct ’16,San Francisco,B2B,svlq.io,1-10,-,-
847,Tetra (YC W17),https://angel.co/tetra,AI notetaker for meetings,Mar ’17,San Francisco,Speech Recognition,asktetra.com,1-10,-,-
848,Zipline International,https://angel.co/zipline-international-1,,Jun ’17,-,-,,51-200,Series B,"$25,000,000"
849,Subdream Studios,https://angel.co/subdream-studios,Social VR Game,Nov ’16,San Mateo,Augmented Reality,subdreamstudios.com,1-10,-,-
850,Stedi,https://angel.co/stedi,Platform to automate billions of dollars in transactions between retailers and suppliers.,Dec ’16,Boulder,B2B,stedi.com,1-10,Seed,"$3,700,000"
851,Magnar,https://angel.co/magnar,Portuguese food-ordering marketplace,Jan ’17,Lisbon,Mobile Commerce,magnarapp.com,-,-,-
852,Princeton Ventures,https://angel.co/princeton-ventures,Princeton Ventures leads growth equity investments of $10 million to over $100 million.,Jan ’17,Princeton,Technology,princetonventures.com,1-10,-,-
853,hulu - Beijing,https://angel.co/hulu-beijing, American subscription video on demand service,Jan ’17,Beijing,TV Production,hulu.com,-,-,-
854,Kylie.ai,https://angel.co/kylieai,Automating Enterprise Conversations Through Cloning Technology,Jan ’17,San Francisco,SaaS,kylie.ai,1-10,-,-
855,Distributed Systems,https://angel.co/cleargraphinc,OS for dapps,Jan ’17,San Francisco,Identity,distributedsystems.com,1-10,-,-
856,Clipboard Health (YC W2017),https://angel.co/clipboardhealth,We help nurses find jobs they love. ,Mar ’17,San Francisco,Marketplaces,clipboardhealth.com,1-10,-,-
857,Chowbotics,https://angel.co/chowbotics,Robots for food service,Mar ’17,Redwood City,Restaurants,chowbotics.com,11-50,Seed,"$6,300,000"
858,KF20 Capital,https://angel.co/kf20-capital,,Apr ’17,San Francisco,-,,,-,-
859,WPP Ventures,https://angel.co/wpp-ventures,WPP's Strategic Corporate Venture Fund,Apr ’17,London,Retail Technology,wppventures.com,,-,-
860,SALIDO,https://angel.co/salido,restaurant Operating System (rOS),Sep ’12,New York City,Hospitality,salido.com,11-50,,"$5,000,000"
861,Headout,https://angel.co/headout,Experience the world on-demand,Feb ’14,San Francisco,Mobile Commerce,headout.com,51-200,Seed,"$1,800,000"
862,HDS Capital,https://angel.co/hds-capital,"HDS invests in and mentors startups at the intersection of technology, retail and fashion.",Oct ’14,New York City,Brand Marketing,hdscapital.com,1-10,-,-
863,Sourcery,https://angel.co/sourcery,Mint.com + Mint Bills for Business,Oct ’14,San Francisco,Wholesale,getsourcery.com,11-50,Series A,"$7,500,000"
864,uMake,https://angel.co/umake,set your ideas free,Oct ’14,San Francisco,Product Design,umake.xyz,1-10,Seed,"$5,200,000"
865,Pana,https://angel.co/pana,Modern corporate travel platform,Oct ’14,Denver,Mobile Commerce,pana.com,11-50,Seed,"$1,550,000"
866,WorkBright,https://angel.co/workbright,Onboarding HR paperwork without the paper. Or the work.,Oct ’14,Boulder,B2B,workbright.com,1-10,-,-
867,Ravti,https://angel.co/ravti,HVAC Management Platform for Commercial Real Estate,Oct ’14,Tampa,SaaS,ravti.com,1-10,-,-
868,Lassy Project,https://angel.co/lassy-project-1,Find Lost Children. Faster.,Oct ’14,The Woodlands,Europe,lassyproject.com,,-,-
869,MileIQ,https://angel.co/mileiq,The #1 mileage logging service.,Oct ’14,Redmond,Business Services,mileiq.com,51-200,Acquired,"$14,000,000"
870,Rebag,https://angel.co/rebagg,Endless access to luxury handbags,Oct ’14,New York City,Collaborative Consumption,rebag.com,51-200,Series B,"$28,300,000"
871,Vault12,https://angel.co/vault12,"Distributed, decentralized and serverless digital custody for all your cryptocurrency.",Nov ’14,Mountain View,Blockchains,vault12.com,1-10,-,-
872,Smarking,https://angel.co/smarking,Data Analytics for Parking,Dec ’14,San Francisco,Predictive Analytics,smarking.com,11-50,Seed,"$3,000,000"
873,Wootric,https://angel.co/wootric,Measure and boost customer happiness.,Oct ’14,San Francisco,B2B,wootric.com,11-50,Seed,"$2,600,000"
874,Kickback,https://angel.co/kickback,,Mar ’15,San Francisco,Skill Gaming,kickback.com,11-50,-,-
875,YesPath,https://angel.co/yespath,SaaS for Account Based Marketing,Dec ’14,San Francisco,Marketing Automation,yespath.com,1-10,Seed,"$1,700,000"
876,Boxed,https://angel.co/boxed,Online Wholesale,Dec ’14,New York City,E-Commerce,boxed.com,51-200,Series C,"$132,600,000"
877,Xfers,https://angel.co/xfers,Internet Banking Payment System,Jun ’15,Singapore,Payments,xfers.com,1-10,Seed,"$2,500,000"
878,Swell,https://angel.co/swellapp,The to-do list that literally works for you.,Aug ’15,New York City,Productivity Software,tryswell.com,1-10,-,-
879,Percolata,https://angel.co/percolata,Sense-able Retail Staffing,Jan ’15,Palo Alto,-,percolata.com,,Seed,"$5,000,000"
880,Flow Labs,https://angel.co/flow-labs,Smarter water management for commercial real estate; Forbes 30 Under 30 - Energy,Nov ’15,Sunnyvale,Water,flowlabs.com,1-10,Seed,"$852,000"
881,datawire.io,https://angel.co/datawire-io,microservices,Nov ’14,San Francisco,Cloud Infrastructure,datawire.io,11-50,-,-
882,SUNDAR,https://angel.co/sundar-6,SaaS Sourcing for Apparel Industry,Nov ’14,New York City,B2B,sundar.io,11-50,,"$1,300,000"
883,Outreach,https://angel.co/outreach,Sales Engagement Platform,Nov ’14,Tampa,Sales Automation,outreach.io,201-500,Series C,"$59,000,000"
884,Requested,https://angel.co/requested,Dine and dash in style,Mar ’15,Sacramento,Hospitality,requestedapp.com,1-10,Acquired,"$845,000"
885,Evertoon,https://angel.co/evertoon,Make 3D animated movies starring celebrities,Nov ’14,San Francisco,Mobile Video,evertoon.com,1-10,Acquired,"$1,700,000"
886,Super,https://angel.co/super,Subscription service provides care & repair for your home,Nov ’14,San Francisco,Local Based Services,hellosuper.com,11-50,Seed,"$3,600,000"
887,Reveal,https://angel.co/reveal-4,"The ""Ask Me Anything"" social network using cryptocurrency to transform social media",Dec ’14,San Francisco,Photo Sharing,reveal.me,1-10,Seed,"$1,500,000"
888,BBG Ventures,https://angel.co/bbg-ventures,An early stage venture capital fund,Nov ’14,New York City,Curated Web,Website,,-,-
889,TetraScience,https://angel.co/tetrascience,Data platform for life sciences,Sep ’15,Boston,Technology,tetrascience.com,11-50,Series A,"$10,000,000"
890,Far East Ventures,https://angel.co/far-east-ventures,,Dec ’14,Singapore,Technology,fareast.ventures,,-,-
891,Chai,https://angel.co/chai,Biotechnology for the Real World,Dec ’14,Santa Clara,Synthetic Biology,chaibio.com,11-50,Seed,"$2,800,000"
892,Kindly Care,https://angel.co/kindly-care,Marketplace for senior home care,Jan ’15,San Francisco,Marketplaces,kindlycare.com,51-200,Seed,"$4,100,000"
